8D70 (走): ラン | run
9001 (送): 護衛,送信 | escort,send
906D (遭): 出会い,大会,パーティー,協会,インタビュー,参加します | encounter,meet,party,association,interview,join
9397 (鎗): 槍,ランス,ジャベリン | spear,lance,javelin
971C (霜): 霜 | frost
9A12 (騒): 騒々しいです,騒ぐ,叫び,ディスターブ,エキサイト | boisterous,make noise,clamor,disturb,excite
50CF (像): 像,画像,画像,フィギュア,肖像画 | statue,picture,image,figure,portrait
5897 (増): 増加する,加えます,増強,利得,推進します | increase,add,augment,gain,promote
618E (憎): 嫌い,憎みます | hate,detest
81D3 (臓): 内臓,内臓,腸 | entrails,viscera,bowels
8535 (蔵): 倉庫,隠す,自分の,持ってる,所有します | storehouse,hide,own,have,possess
8D08 (贈): プレゼント,送信,に与えます,賞へ,上の付与,何かを提示します | presents,send,give to,award to,confer on,presenting something
9020 (造): 作ります,作ります,構造,体格 | create,make,structure,physique
4FC3 (促): 刺激します,衝動,押す,デマンド,駆り立てます | stimulate,urge,press,demand,incite
5074 (側): 側,リーン,反対します,後悔 | side,lean,oppose,regret
5247 (則): ルール,続きます,に基づく,後のモデル | rule,follow,based on,model after
5373 (即): インスタント,すなわち,そのまま,合わせます,同意します,適応する | instant,namely,as is,conform,agree,adapt
606F (息): 息,呼吸,息子,（金銭上の）利子 | breath,respiration,son,interest (on money)
6349 (捉): キャッチ,キャプチャー | catch,capture
675F (束): バンドル,束,連,束ねます,支配します,管理します,コントロール | bundle,sheaf,ream,tie in bundles,govern,manage,control
6E2C (測): 尋,計画,スキーム,測定 | fathom,plan,scheme,measure
8DB3 (足): 脚,足,十分です,靴のペアのためのカウンタ | leg,foot,be sufficient,counter for pairs of footwear
901F (速): クイック,速いです | quick,fast
4FD7 (俗): 低俗,税関,マナー,世俗,俗 | vulgar,customs,manners,worldliness,mundane things
5C5E (属): 属する,属,下役,付属 | belong,genus,subordinate official,affiliated
8CCA (賊): 強盗,反乱,裏切り者,強盗 | burglar,rebel,traitor,robber
65CF (族): 部族,家族 | tribe,family
7D9A (続): 持続する,シリーズ,続編 | continue,series,sequel
5352 (卒): 卒業,兵士,プライベート,死にます | graduate,soldier,private,die
8896 (袖): スリーブ,ウイング（建物）,拡張,冷たい肩を与えます | sleeve,wing (building),extension,give cold shoulder
5176 (其): それ | that
63C3 (揃): 完全であること,ユニフォーム,すべての存在 | be complete,uniform,all present
5B58 (存): 存在します,仮定する,の点に注意してください。,信じます,感じます | exist,suppose,be aware of,believe,feel
5B6B (孫): 孫,子孫 | grandchild,descendants
5C0A (尊): 尊敬,貴重な,貴重な,ノーブル,高貴な | revered,valuable,precious,noble,exalted
640D (損): 損傷,損失,不利益,傷つけます,傷つけます | damage,loss,disadvantage,hurt,injure
6751 (村): 村,タウン | village,town
905C (遜): 謙虚な,控えめな | humble,modest
4ED6 (他): 他の,別の,他人 | other,another,the others
591A (多): たくさんの,頻繁な,ずっと | many,frequent,much
592A (太): ふくよか,厚いです,周りに大きな | plump,thick,big around
