7E36 (縶): 閉じ込めます,タイアップ,投獄します,小屋 | confine,tie up,imprison,shack
7E3F (縿): ストリーマー | streamer
7E44 (繄): あります,粒子,ため息,悲しいかな | be,particle,sigh,alas
7E45 (繅): ドロー,繭から本物の絹,エレガントな組成物 | draw,reel silk from cocoons,elegant compositions
7E47 (繇): 理由,原因 | reason,cause
7E4E (繎):  | 
7E50 (繐): 細かい布 | fine cloth
7E52 (繒): 絹地,姓 | silk fabrics,surname
7E58 (繘): ロープ | rope
7E5F (繟):  | 
7E61 (繡): 潤色します,刺繍,オーナメント | embroider,embroidery,ornament
7E62 (繢): ドロー,スケッチ,ペイント | draw,sketch,paint
7E65 (繥):  | 
7E6B (繫): アタッチ,接続します,団結させます,留めます | attach,connect,unite,fasten
7E6E (繮): 手綱,手綱 | reins,bridle
7E6F (繯): ヌース,死をハング,ネクタイ,バインド | noose,hang death,tie,bind
7E73 (繳): 届けます,提出します,引き渡す | deliver,submit,hand over
7E78 (繸): 衣服の裾やボーダー,タッセル | hem or border of a garment,tassel
7E7E (繾): に添付,切っても切れない,もつれ | attached to,inseparable,entangled
7E81 (纁): 赤の色合い,ライトレッド | shade of red,light red
7E86 (纆): コード | cord
7E87 (纇): 結び目,傷,欠陥,邪悪 | knot,blemish,flaw,wicked
7E8A (纊): コットン,シルク | cotton,silk
7E8D (纍): バインド,風について,リンク,参加します | bind,wind about,link,join
7E91 (纑): 煮沸して大麻を柔らかくします,糸 | to soften hemp by boiling,thread
7E95 (纕): ベルト | belt
7E98 (纘): 持続する,続ける,成功します | continue,carry on,succeed
7E9A (纚): 長いです,懸垂,ハンカチ,ロープ | long,dangling,kerchief,rope
7E9D (纝):  | 
7E9E (纞):  | 
7F3C (缼):  | 
7F3B (缻): 陶器,土器 | pottery,earthenware
7F3D (缽): 土器盆地,托鉢の鉢 | earthenware basin,alms bowl
7F3E (缾): ジャー,ボトル | jar,bottle
7F3F (缿):  | 
7F43 (罃): 長い首瓶やボトル | long necked jar or bottle
7F44 (罄): 排気,尽きる,使い切ります,空の | exhaust,run out,use up,empty
7F47 (罇): ゴブレット,ボトル,ワイン瓶 | goblet,bottle,wine-jar
7F4F (罏): ワインの水差しのための土のスタンド | earthen stand for wine jug
7F52 (罒): ネットラジカルバリアント（なし。122） | net radical variant (no. 122)
7F53 (罓): ネットラジカルバリアント（なし。122） | net radical variant (no. 122)
7F5B (罛): 大きな漁網 | large fishing net
7F5C (罜):  | 
7F5D (罝): ウサギをキャッチするためのネット | net for catching rabbits
7F61 (罡): 特定の星の名前,そこに住むことになっている神 | the name of a certain stars,the god who is supposed to live in them
7F63 (罣): 妨げます,ディスターブ,妨害します | hinder,disturb,obstruct
7F64 (罤):  | 
7F65 (罥): 妨げます | impede
7F66 (罦): ネット | net
7F6D (罭): 細かいメッシュで作られたドラッグ＆ネット | drag-net made of fine mesh
7F71 (罱): 漁網 | fishing net
7F7D (罽): 毛織物の種類 | kind of woolen fabric
7F7E (罾): 大きな広場ネット,川の土手から下げと上げ | large square net, lowered and raised from the bank of the river
7F7F (罿): ネットキャッチ鳥 | net catch birds
7F80 (羀): 釣りトラップ | fishing trap
7F8B (羋): 羊の悲しそうな声,姓 | bleat of sheep,surname
7F8D (羍):  | 
7F8F (羏):  | 
7F90 (羐): リードします,ガイド | to lead,guide
7F91 (羑): 善に導きます | guide to goodness
7F96 (羖): 黒ラム | black ram
7F97 (羗): 中国西部での部族強いです,教育を受けました,頑固な,粒子 | Tribes in West China strong,educated,obstinate,particle
7F9C (羜): 子羊 | lamb
7FA1 (羡): 羨望,感心します,賞賛,切望します | envy,admire,praise,covet
7FA2 (羢): 細かい毛織物 | fine woolen fabrics
7FA6 (羦):  | 
7FAA (羪):  | 
7FAD (羭): 良い | good
7FB4 (羴): 羊やヤギのランク臭 | rank odour of sheep or goats
7FBC (羼): 混乱させる,ミックス,補間します | confuse,mix,interpolate
7FBF (羿): 伝説の射手 | legendary archer
7FC0 (翀): 上向きに飛びます | fly upward
7FC3 (翃): 飛ぶ | fly
7FC8 (翈):  | 
7FCE (翎): フェザー,プルーム,翼 | feather,plume,wing
7FCF (翏): 天籟,急上昇します | the sound of the wind,to soar
7FDB (翛): しわくちゃの羽の外観,ぬれました,性急な,急速な飛行 | look of rumpled feathers,bedraggled,hasty,rapid flight
7FDF (翟): 姓,キジの種類 | surname,kind of pheasant
7FE3 (翣): 羽が飾ら棺を使用します,大きな木製のファン | feathers used decorate coffin,large wooden fan
7FE5 (翥): 急上昇します,フライアップします | to soar,to fly up
7FE8 (翨):  | 
7FEC (翬): キジ,多彩,飛びます | pheasant,variegated,to fly
7FEE (翮): 羽の茎,クイル | stem of a feather,quill
7FEF (翯): 輝く羽,水に太陽の反射 | glistening plumage,reflection of the sun on water
7FF2 (翲):  | 
7FFA (翺): 舞い上がります,ローム | soar,roam
7FFD (翽): whirr | whirr
7FFE (翾): 飛ぶ,夜逃げします | fly,to flit
7FFF (翿): ストリーマ羽で飾られました | streamer adorned with feathers
8007 (耇): 高齢者のしわの顔 | wrinkled face of the elderly
8008 (耈): 老齢 | old age
800A (耊):  | 
800D (耍): 戯れる,遊びます,アミューズ,と遊ぶ | frolic,play,amuse,play with
800E (耎): 弱い,柔軟な,柔らかい,得 | weak,pliable,soft,yielding
800F (耏): 髭 | whiskers
8011 (耑): 専門の,濃縮 | specialized,concentrated
8013 (耓):  | 
8014 (耔): 工場周辺地を鍬します | to hoe up the earth around plants
8016 (耖):  | 
801D (耝):  | 
